reference_month,ticker,value,unit,seasonal_adjustment,report_month,report_release_date,source_id,source_url,table_index_zero_based,observation_role
2019-02,NAPMC@USECON,54.1,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-03,NAPMC@USECON,54.6,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-04,NAPMC@USECON,53.4,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-05,NAPMC@USECON,52.3,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-06,NAPMC@USECON,51.6,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-07,NAPMC@USECON,51.3,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-08,NAPMC@USECON,48.8,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-09,NAPMC@USECON,48.2,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-10,NAPMC@USECON,48.5,diffusion_index,composite_of_adjusted_and_unadjusted_subindexes,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,1,retrospective_table
2019-10,NAPMEI@USECON,47.9,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,4,retrospective_table
2019-10,NAPMII@USECON,49.4,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,6,retrospective_table
2019-10,NAPMNI@USECON,48.9,diffusion_index,SA,2020-01,2020-02-03,manufacturing_2020-01,https://www.prnewswire.com/news-releases/pmi-at-50-9-gdp-growing-at-2-4-january-2020-manufacturing-ism-report-on-business-300997110.html,2,retrospective_table
