reference_month,ticker,release_value,workbook_value,difference,source_id
2019-02,NAPMC@USECON,54.1,54.4,-0.29999999999999716,manufacturing_2020-01
2019-03,NAPMC@USECON,54.6,54.9,-0.29999999999999716,manufacturing_2020-01
2019-04,NAPMC@USECON,53.4,53.6,-0.20000000000000284,manufacturing_2020-01
2019-05,NAPMC@USECON,52.3,52.6,-0.30000000000000426,manufacturing_2020-01
2019-06,NAPMC@USECON,51.6,51.5,0.10000000000000142,manufacturing_2020-01
2019-07,NAPMC@USECON,51.3,51.0,0.29999999999999716,manufacturing_2020-01
2019-08,NAPMC@USECON,48.8,48.5,0.29999999999999716,manufacturing_2020-01
2019-09,NAPMC@USECON,48.2,48.1,0.10000000000000142,manufacturing_2020-01
2019-10,NAPMC@USECON,48.5,48.1,0.3999999999999986,manufacturing_2020-01
2019-10,NAPMII@USECON,49.4,48.8,0.6000000000000014,manufacturing_2020-01
2019-10,NAPMPI@USECON,45.5,45.5,0.0,manufacturing_2020-01
2019-11,NAPMC@USECON,48.1,48.1,0.0,manufacturing_2020-01
2019-11,NAPMII@USECON,47.2,46.6,0.6000000000000014,manufacturing_2020-01
2019-11,NAPMPI@USECON,46.7,46.7,0.0,manufacturing_2020-01
2019-12,NAPMC@USECON,47.8,47.9,-0.10000000000000142,manufacturing_2020-01
2019-12,NAPMII@USECON,49.2,48.6,0.6000000000000014,manufacturing_2020-01
2019-12,NAPMPI@USECON,51.7,51.7,0.0,manufacturing_2020-01
2020-01,NAPMC@USECON,50.9,51.4,-0.5,manufacturing_2020-01
2020-01,NAPMII@USECON,48.8,49.1,-0.30000000000000426,manufacturing_2020-01
2020-01,NAPMPI@USECON,53.3,53.3,0.0,manufacturing_2020-01
2024-12,NAPMC@USECON,49.2,49.2,0.0,manufacturing_2025-11
2025-01,NAPMC@USECON,50.9,50.5,0.3999999999999986,manufacturing_2025-11
2025-02,NAPMC@USECON,50.3,50.0,0.29999999999999716,manufacturing_2025-11
2025-03,NAPMC@USECON,48.9,48.9,0.0,manufacturing_2026-02
2025-04,NAPMC@USECON,48.8,48.8,0.0,manufacturing_2026-02
2025-05,NAPMC@USECON,48.6,48.6,0.0,manufacturing_2026-02
2025-06,NAPMC@USECON,49.0,49.0,0.0,manufacturing_2026-05
2025-07,NAPMC@USECON,48.4,48.4,0.0,manufacturing_2026-05
2025-08,NAPMC@USECON,48.9,48.9,0.0,manufacturing_2026-05
2025-08,NAPMII@USECON,49.4,49.1,0.29999999999999716,manufacturing_2025-11
2025-08,NAPMPI@USECON,63.7,63.7,0.0,manufacturing_2025-11
2025-09,NAPMC@USECON,48.9,48.9,0.0,manufacturing_2026-08
2025-09,NAPMII@USECON,47.7,47.8,-0.09999999999999432,manufacturing_2025-11
2025-09,NAPMPI@USECON,61.9,61.9,0.0,manufacturing_2025-11
2025-10,NAPMC@USECON,48.8,48.8,0.0,manufacturing_2026-08
2025-10,NAPMII@USECON,45.8,46.7,-0.9000000000000057,manufacturing_2025-11
2025-10,NAPMPI@USECON,58.0,58.0,0.0,manufacturing_2025-11
2025-11,NAPMC@USECON,48.0,48.0,0.0,manufacturing_2026-08
2025-11,NAPMII@USECON,48.5,48.5,0.0,manufacturing_2026-02
2025-11,NAPMPI@USECON,58.5,58.5,0.0,manufacturing_2026-02
2025-12,NAPMC@USECON,47.9,47.9,0.0,manufacturing_2026-08
2025-12,NAPMII@USECON,45.7,45.7,0.0,manufacturing_2026-02
2025-12,NAPMPI@USECON,58.5,58.5,0.0,manufacturing_2026-02
2026-01,NAPMC@USECON,52.6,52.6,0.0,manufacturing_2026-08
2026-01,NAPMII@USECON,47.6,47.6,0.0,manufacturing_2026-02
2026-01,NAPMPI@USECON,59.0,59.0,0.0,manufacturing_2026-02
2026-02,NAPMC@USECON,52.4,52.4,0.0,manufacturing_2026-08
2026-02,NAPMII@USECON,48.8,48.8,0.0,manufacturing_2026-05
2026-02,NAPMPI@USECON,70.5,70.5,0.0,manufacturing_2026-05
2026-03,NAPMC@USECON,52.7,52.7,0.0,manufacturing_2026-08
2026-03,NAPMII@USECON,47.1,47.1,0.0,manufacturing_2026-05
2026-03,NAPMPI@USECON,78.3,78.3,0.0,manufacturing_2026-05
2026-04,NAPMC@USECON,52.7,52.7,0.0,manufacturing_2026-08
2026-04,NAPMII@USECON,49.0,49.0,0.0,manufacturing_2026-05
2026-04,NAPMPI@USECON,84.6,84.6,0.0,manufacturing_2026-05
2026-05,NAPMC@USECON,54.0,54.0,0.0,manufacturing_2026-08
2026-05,NAPMII@USECON,49.9,49.9,0.0,manufacturing_2026-08
2026-05,NAPMPI@USECON,82.1,82.1,0.0,manufacturing_2026-08
2026-06,NAPMC@USECON,53.3,53.3,0.0,manufacturing_2026-08
2026-06,NAPMII@USECON,51.4,51.4,0.0,manufacturing_2026-08
2026-06,NAPMPI@USECON,73.0,73.0,0.0,manufacturing_2026-08
2026-07,NAPMC@USECON,55.6,55.6,0.0,manufacturing_2026-08
2026-07,NAPMII@USECON,51.2,51.2,0.0,manufacturing_2026-08
2026-07,NAPMPI@USECON,71.1,71.1,0.0,manufacturing_2026-08
2026-08,NAPMC@USECON,54.6,54.6,0.0,manufacturing_2026-08
2026-08,NAPMII@USECON,50.6,50.6,0.0,manufacturing_2026-08
2026-08,NAPMPI@USECON,71.1,71.1,0.0,manufacturing_2026-08
