ticker,old_last_month,new_last_month,latest_value,is_constant,additional_nonmissing_months,workbook_price_forecast_series
ADS@USECON,2026-01-31,2026-08-31,1.821,False,7,False
ASCPU@USNA,2025-12-31,2026-07-31,50.24,False,7,False
ASTOT@USECON,2026-01-31,2026-08-31,2.736,False,7,False
BOFGX@SURVEYS,2026-02-28,2026-08-31,73.6,False,6,False
BOISM@SURVEYS,2026-02-28,2026-08-31,57.5,False,6,False
BusShareTrucks,2025-12-31,2026-07-31,45.28966884499596,False,7,False
CDQM@USNA,2025-12-31,2026-07-31,152.706,False,7,False
CNQM@USNA,2025-12-31,2026-07-31,128.146,False,7,False
CPG@USECON,2025-10-31,2026-07-31,1632.7787676563112,False,9,False
CPGF@USECON,2025-10-31,2026-07-31,28589.45062592759,False,9,False
CPGS@USECON,2025-10-31,2026-07-31,356159.88354865107,False,9,False
CPVD@USECON,2025-10-31,2026-07-31,534680.5725681941,False,9,False
CQM@USNA,2025-12-31,2026-07-31,127.167,False,7,False
CSQM@USNA,2025-12-31,2026-07-31,123.211,False,7,False
CUMFG@IP,2026-01-31,2026-07-31,76.0111,False,6,False
CUT@IP,2026-01-31,2026-07-31,76.2878,False,6,False
CoreCapGoodsExports,2025-12-31,2026-07-31,1.3419385722711847,False,7,False
CoreCapGoodsImports,2025-12-31,2026-07-31,2.4455348212988213,False,7,False
CoreCapGoodsShipments,2025-12-31,2026-07-31,4.179479069608404,False,7,False
CoreRetailSales,2025-12-31,2026-07-31,3947.963974518314,False,7,False
DefenseShipments,2025-12-31,2026-07-31,58.7777520709828,False,7,False
HN1MT@USECON,2025-10-31,2026-07-31,9.6,False,9,False
HN1SUS@USECON,2025-10-31,2026-07-31,488.0,False,9,False
HN1US@USECON,2025-10-31,2026-07-31,607.0,False,9,False
HPT@USECON,2025-12-31,2026-07-31,1433.0,False,7,False
HSM@USECON,2025-12-31,2026-06-30,100.0,False,6,False
HST1@USECON,2025-12-31,2026-07-31,808.0,False,7,False
HST@USECON,2025-12-31,2026-07-31,1239.0,False,7,False
HSTM@USECON,2025-12-31,2026-07-31,431.0,False,7,False
HSTMW@USECON,2025-12-31,2026-07-31,173.0,False,7,False
HSTNE@USECON,2025-12-31,2026-07-31,164.0,False,7,False
HSTS@USECON,2025-12-31,2026-07-31,645.0,False,7,False
HSTW@USECON,2025-12-31,2026-07-31,257.0,False,7,False
IP511@IP,2026-01-31,2026-07-31,97.4193,False,6,False
IP512@IP,2026-01-31,2026-07-31,97.1029,False,6,False
IP51@IP,2026-01-31,2026-07-31,97.1933,False,6,False
IP521@IP,2026-01-31,2026-07-31,100.4084,False,6,False
IP53@IP,2026-01-31,2026-07-31,107.8456,False,6,False
IP54@IP,2026-01-31,2026-07-31,99.7509,False,6,False
IP@IP,2026-01-31,2026-07-31,102.9939,False,6,False
IPB31@IP,2026-01-31,2026-07-31,106.2102,False,6,False
IPFP@IP,2026-01-31,2026-07-31,99.0096,False,6,False
IPMFG@IP,2026-01-31,2026-07-31,98.4305,False,6,False
IPTP@IP,2026-01-31,2026-07-31,99.2265,False,6,False
LACONSA@USECON,2026-01-31,2026-08-31,8359.0,False,7,False
LAD61A@USECON,2026-01-31,2026-08-31,923.7,False,7,False
LADURGA@USECON,2026-01-31,2026-08-31,7891.0,False,7,False
LAEDUHA@USECON,2026-01-31,2026-08-31,27974.0,False,7,False
LAFGDA@LABOR,2025-12-31,2026-07-31,468.3,False,7,False
LAFGOVA@USECON,2026-01-31,2026-08-31,2674.0,False,7,False
LAFIREA@USECON,2026-01-31,2026-08-31,9086.0,False,7,False
LAGOODA@USECON,2026-01-31,2026-08-31,21606.0,False,7,False
LALEIHA@USECON,2026-01-31,2026-08-31,17001.0,False,7,False
LAMANUA@USECON,2026-01-31,2026-08-31,12638.0,False,7,False
LAMINGA@USECON,2026-01-31,2026-08-31,569.9,False,7,False
LANAGRA@USECON,2026-01-31,2026-08-31,159075.0,False,7,False
LANDURA@USECON,2026-01-31,2026-08-31,4747.0,False,7,False
LAP15A@USECON,2026-01-31,2026-08-31,2362.7,False,7,False
LAPBSVA@USECON,2026-01-31,2026-08-31,22527.0,False,7,False
LAPRIVA@USECON,2026-01-31,2026-08-31,135752.0,False,7,False
LAPSRVA@USECON,2026-01-31,2026-08-31,114146.0,False,7,False
LAPTSVA@USECON,2026-01-31,2026-08-31,10842.3,False,7,False
LARTRDA@USECON,2026-01-31,2026-08-31,15488.2,False,7,False
LASRVOA@USECON,2026-01-31,2026-08-31,6035.0,False,7,False
LAWTRDA@USECON,2026-01-31,2026-08-31,6072.1,False,7,False
LE@USECON,2026-01-31,2026-08-31,162746.0,False,7,False
LENA@USECON,2026-01-31,2026-08-31,160325.0,False,7,False
LFPRUnround,2026-01-31,2026-08-31,61.64406441188751,False,7,False
LOMANUA@USECON,2026-01-31,2026-08-31,4.0,False,7,False
LPD61DA@LABOR,2025-12-31,2026-07-31,283.6,False,7,False
LRM25@USECON,2026-01-31,2026-08-31,3.9,False,7,False
LRMANUA@USECON,2026-01-31,2026-08-31,41.7,False,7,False
LRPRIVA@USECON,2026-01-31,2026-08-31,33.8,False,7,False
LUMD@USECON,2026-01-31,2026-08-31,11.4,False,7,False
LoserOnLayoff,2026-01-31,2026-08-31,0.494177656573034,False,7,False
ManInvShipRatio,2025-12-31,2026-07-31,1.467550957526414,False,7,False
MobileHomeVal,2025-12-31,2026-06-30,13542.072716424926,False,6,False
NMS@USECON,2025-12-31,2026-07-31,4595.04568114368,False,7,False
NRST@USECON,2025-12-31,2026-07-31,6309.472033514751,False,7,False
NWSH@USECON,2025-11-30,2026-07-31,5861.492907273095,False,8,False
NomSingleStarts,2025-10-31,2026-07-31,2080.354994795883,False,9,False
NondefenseAircraftNetShipments,2025-12-31,2026-07-31,22.697624450510297,False,7,False
RealCapitalShipments,2025-12-31,2026-07-31,360.5053725755024,False,7,False
RetSalesResEquip,2025-12-31,2026-07-31,206.96441472095972,False,7,False
RetailInvSalesRatio,2025-12-31,2026-07-31,1.0947647704200176,False,7,False
SplicedBuildingMaterials,2025-12-31,2026-07-31,708.7993253486861,False,7,False
SplicedComputersShipments,2025-12-31,2026-07-31,34168.540732587295,False,7,False
SplicedDurableGoodsOrders,2025-12-31,2026-07-31,1450.6039339049264,False,7,False
SplicedExportsComputersAndRelated,2025-12-31,2026-07-31,130827.9710415335,False,7,False
SplicedGoodsExports,2025-12-31,2026-07-31,1182.6964933494562,False,7,False
SplicedGoodsImports,2025-12-31,2026-07-31,233081.9137038549,False,7,False
SplicedImportsComputersAndRelated,2025-12-31,2026-07-31,734001.9448135748,False,7,False
SplicedNewHousingConstruction,2025-12-31,2026-07-31,2594.5602440264374,False,7,False
SplicedNonCoreNonComputerNonSvcExports,2025-12-31,2026-07-31,11.500193470374857,False,7,False
SplicedNonCoreNonComputerNonSvcImports,2025-12-31,2026-07-31,1839.7644935363344,False,7,False
SplicedServiceExports,2025-12-31,2026-07-31,12077.67676462452,False,7,False
SplicedServiceImports,2025-12-31,2026-07-31,8327.78758104476,False,7,False
StateLocalEmp,2026-01-31,2026-08-31,20649.0,False,7,False
